   0  15.500 Hi 75             
 552  72.    Hi 75             
 553  73.    Hi 75             
 554  74.    Hi 75             
 555  75.    Hi 75             
 556  76.    Hi 75             
 557  77.    Hi 75             
 558  78.    Hi 75             
 559  80.    Hi 75 m           
 560  81.    Hi 75             
 561  82.    Hi 75             
 562  83.    Hi 75             
 563  84.    Hi 75             
 564 122.    Hi 75             
 565 124.    Hi 75 m           
 566 152.    Hi 75             
 567 152.    Hi 75             
 568   3.    Hi 75             
 569   4.    Hi 75 m           
 570   5.    Hi 75             
 571   6.    Hi 75             
 572   7.    Hi 75             
 573   8.    Hi 75             
 574   9.    Hi 75             
 575  10.    Hi 75             
 576  11.    Hi 75             
 577  12.    Hi 75             
 578  13.    Hi 75             
 579  14.    Hi 75             
 580  15.    Hi 75             
 581  16.    Hi 75 m           
 582  17.    Hi 75             
 583  18.    Hi 75             
 584   2.    Hi 75 m           
 585  19.    Hi 75             
 586  20.    Hi 75             
 587  21.    Hi 75             
 588  22.    Hi 75             
 589  23.    Hi 75             
 590  24.    Hi 75             
 591  25.    Hi 75             
 592  26.    Hi 75             
 593  27.    Hi 75             
 594  28.    Hi 75             
 595  29.    Hi 75             
 596  30.    Hi 75             
 597  31.    Hi 75             
 598  32.    Hi 75 m           
 599  33.    Hi 75             
 600  34.    Hi 75             
 601  35.    Hi 75             
 602  36.    Hi 75             
 603  37.    Hi 75             
 604  38.    Hi 75             
 605  39.    Hi 75             
 606  40.    Hi 75 m           
 607  41.    Hi 75             
 608  42.    Hi 75             
 609  43.    Hi 75             
 610  44.    Hi 75 m           
 611  45.    Hi 75             
 612  46.    Hi 75             
 613  47.    Hi 75             
 614  48.    Hi 75             
 615  49.    Hi 75             
 616  50.    Hi 75             
 617  51.    Hi 75             
 618  52.    Hi 75 m           
 619  53.    Hi 75             
 620  54.    Hi 75             
 621  55.    Hi 75             
 622  56.    Hi 75             
 623  57.    Hi 75             
 624  58.    Hi 75             
 625  59.    Hi 75             
 626  60.    Hi 75             
 627  61.    Hi 75             
 628  62.    Hi 75             
 629  63.    Hi 75             
 630  64.    Hi 75             
 631  65.    Hi 75 m           
 632  66.    Hi 75             
 633  14.    Hi 75             
 634  15.    Hi 75             
 635  16.    Hi 75 m           
 636  17.    Hi 75             
 637  18.    Hi 75             
 638  32.    Hi 75             
 639  33.    Hi 75             
 640  34.    Hi 75 m           
 641  35.    Hi 75             
 642  36.    Hi 75             
 643  64.    Hi 75             
 644  66.    Hi 75             
 645  67.    Hi 75             
 646  68.    Hi 75             
 647  69.    Hi 75             
 648  70.    Hi 75             
 649  71.    Hi 75             
 650  72.    Hi 75             
 651  73.    Hi 75             
 652  74.    Hi 75             
 653  75.    Hi 75             
 654  76.    Hi 75 m           
 655  77.    Hi 75             
 656  78.    Hi 75             
